Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01,November02,November03,November04,November05,November06,November07,November08,November09,November10,November11,November12,November13,November14,November15,November16,November17,November18,November19,November20,November21,November22,November23,November24,November25,November26,November27,November28,November29,November30,December01
Djibouti,+156,+141,0,+114,0,+99,+29,+12,+13,+9,+15,+12,+37,+5,+12,+8,+15,0,+4,+4,+4,+9,+2,+54,+21,+17,+29,+12,+16,+25,+22,+70,+117,+100,+210,+219,+223,0,0,+198,0,+229,+217,0,+280,+160,+215,+210,+156,+119,+69,+46,+38,+71,+53,+42,+25,+43,+8,+16,+36,+38,+6,+12,+8,0,+17,+17,+18,+13,+5,+8,0,0,+13,+26,+22,+11,+21,0,+56,+30,+56,+11,+66,+13,0,+4,+5,+2,+6,+8,+10,0,+8,+9,+7,+3,+1,+8,0,+11,+9,+9,+13,0,+3,0,+77,+79,+8,+82,0,+8,0,+6,+3,+1,+10,0,+9,0,+2,+3,+2,0,0,+8,0,0,+1,0,0,0,0,+2,0,+2,0,0,0,0,0,+1,0,0,+3,+3,0,0,+1,+1,0,+3,0,+4,0,0,+1,+3,0,0,+2,0,0,+1,+6,0,+1,0,+1,+1,+2,+2,0,0,0,0,0,+3,+2,+12,+3,+6,+3,+7,+10,+30,+13,+10,+6,+2,+6,+5,+3,+11,+3,+1,+2,+2,+10,+2,+5,+19,+5,+1,+3,+19,+6,+2,+6,+3,+1,+4,+6,+1,+2,0,+2,+1,+7,0,+1,+1,+6,0,0,+1,+2,+1
Réunion,+3,+8,+5,+1,0,+2,0,+2,0,+5,0,+1,0,+2,0,+2,+1,0,+1,0,+1,+2,0,+5,+5,0,+1,+2,+1,+1,+2,0,+3,0,+1,+2,0,+3,0,+4,+3,+1,+5,+5,+1,0,+2,+4,+1,+1,+1,0,0,+1,0,+5,+1,+1,+1,+6,+1,0,+2,+5,+2,+1,+1,+1,0,+1,+8,+1,+3,+1,+1,+4,+2,+3,+2,+3,+11,+3,+1,+12,+3,+5,+6,+16,+3,+3,+9,+4,+2,+10,+4,+3,+8,+6,+1,+8,+3,0,0,0,0,0,+3,+4,+3,0,+2,+1,+1,+4,+6,+6,+3,+12,+32,+20,+22,+40,+39,+25,+23,+42,+51,+79,+42,+92,+35,+48,+80,+38,+77,+70,+77,+45,+35,+82,+116,+90,+113,+107,+55,+69,+70,+94,+113,+100,+82,+67,+30,+100,+97,+95,0,0,+73,0,+86,0,+184,0,0,+197,0,+111,0,+185,0,0,+150,0,+57,0,+106,0,0,+133,0,+54,0,+98,0,0,+145,0,+94,0,+134,0,0,+212,0,+111,0,+187,0,0,+239,0,+139,0,+227,0,0,+308,0,+163,0,+146,0,0,+280,0,+137,0,+203,0,0,+188,0,+147,0,+104,0,0,+114,0
Mauritius,0,0,+1,+3,0,0,+1,+2,0,0,+1,+2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0,0,0,0,+1,0,0,0,0,0,0,+2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+3,0,+1,0,0,0,0,0,0,0,0,0,0,0,+1,0,0,0,0,0,0,0,0,+1,0,0,0,0,0,0,0,0,+1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+1,+1,0,0,0,0,0,0,0,0,+1,+1,+6,+1,0,0,0,+1,0,0,0,0,0,0,0,+5,0,0,0,0,0,0,+4,0,+1,0,0,0,0,+1,0,0,0,0,0,0,0,0,0,+4,0,0,+2,+8,0,0,0,0,0,+9,+3,0,+8,+2,0,0,+2,0,0,+6,+10,0,0,+4,0,0,0,0,0,+5,+5,0,+1,+1,0,0,0,0,0,0,+15,+2,0,+8,+13,0,+3,0,0,0,0,0,0,+3,+1,+3,0,0,+3,+1
Kenya,+9,+12,+16,+8,+11,+15,+7,+17,+16,+7,+12,+8,+11,+10,+12,+15,+24,+30,+25,+45,+47,+25,+14,+28,+23,+28,+15,+22,+21,+23,+49,+57,+25,+51,+66,+80,+52,+31,+22,+72,+62,+123,+147,+127,+143,+74,+59,+72,+123,+124,+134,+126,+167,+95,+127,+105,+121,+90,+152,+137,+133,+133,+184,+213,+117,+104,+260,+59,+155,+254,+178,+149,+278,+259,+120,+176,+307,+268,+247,+389,+309,+181,+183,+278,+447,+473,+278,+379,+189,+497,+461,+421,+389,+688,+603,+418,+397,+637,+796,+667,+375,+960,+372,+606,+544,+788,+723,+727,+690,+544,+605,+671,+538,+727,+699,+599,+492,+497,+679,+650,+580,+515,+271,+245,+271,+379,+426,+322,+355,+246,+193,+246,+213,+373,+241,+164,+263,+144,+114,+178,+212,+179,+136,+83,+102,+151,+104,+143,+190,+176,+188,+48,+96,+92,+183,+148,+105,+152,+98,+139,+130,+141,+218,+164,+244,+53,+210,+151,+184,+210,+261,+243,+22,+137,+321,+271,+442,+538,+388,+73,+318,+604,+602,+437,+616,+685,+195,+571,+497,"+1,068",+631,+947,+931,+276,+836,"+1,018",+761,"+1,185","+1,395",+685,+724,+492,"+1,494","+1,008","+1,109","+1,065",+719,+756,"+1,344","+1,216",+919,"+1,470","+1,080",+972,+559,+925,+957,"+1,459","+1,048","+1,211",+968,+413,+727,+810,+780,"+1,554",+949,+711,+302,+551
Mayotte,+16,+12,+9,+17,0,+40,+15,0,+28,+26,+21,0,+59,0,+79,0,0,+54,+36,+53,0,+115,0,+134,+35,0,+72,+48,+67,0,+102,+30,+28,0,+105,0,+46,0,+66,+22,+25,+11,+25,+29,0,0,+235,+52,+7,+65,+21,0,0,+72,+24,+51,+14,+28,+14,+16,+12,+23,+12,+38,+11,+10,0,+30,0,+33,+41,0,0,0,+52,+43,+40,+7,+11,0,0,+18,+9,0,+14,+9,0,0,+13,0,+6,+35,+4,0,0,+26,+16,+15,+23,0,0,0,+38,0,+5,+57,0,0,0,+46,+15,+8,+11,+26,0,0,0,+23,0,+28,0,0,0,+41,0,0,0,+16,0,0,0,0,0,+64,0,0,0,0,0,0,+73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+238,0,0,0,0,+113,0,0,0,+97,0,0,+41,0,0,0,0,0,0,+129,0,+44,0,+73,0,0,+45,0,+45,0,0,0,0,+123,+35,+26,0,0,0,0,+265,0,0,+106,0,0,0,+22,0,+93,0,0,0,0,+86,0,+59,0,0,0,0,0,0
Rwanda,+2,+5,+1,+3,0,+3,+3,+1,+22,+7,+8,+16,+5,+13,+18,+6,+6,+4,+2,0,+7,+3,+2,+7,+4,+1,+1,+1,0,0,+2,+3,+5,+11,+6,+6,+1,+4,+2,+9,+3,+7,+3,+6,+4,+11,+7,+7,+13,+13,+10,+11,+8,+12,+12,+13,+18,+16,+31,+41,+30,+24,+3,+7,+15,+41,+26,+59,+11,+32,+20,+8,+20,+22,+101,+24,+17,+21,+18,+11,+13,+8,+59,+22,+16,+42,+47,+38,+41,+38,+19,+38,+12,+54,+43,+47,+26,+34,+21,+19,+23,+69,+58,+47,+37,+31,+28,+20,+20,+30,+7,+5,+7,+17,+6,+6,+12,+19,+18,+11,+93,+59,+101,+87,+37,+67,+73,+63,+109,+200,+217,+231,+88,+47,+70,+101,+177,+43,+79,+76,+37,+49,+45,+25,+35,+30,+21,+19,+55,+31,+26,+11,+22,+10,+19,+18,+18,+22,+11,+16,+41,+10,+9,+13,+9,+12,+4,+4,+3,+4,+5,+14,+1,+6,+10,+2,+5,+2,+4,+9,+3,+32,+13,+12,+6,+3,+18,+4,+16,+5,+35,+8,+6,+7,+11,+45,+2,+3,+3,+9,+9,+7,+12,+18,+16,+5,+9,+20,+20,+50,+7,+43,+32,+61,+36,+16,+36,+29,+14,+34,+45,+61,+24,+29,+72,+21,+19,+28,+15,+14
Madagascar,+1,+6,+3,+1,0,0,0,0,+1,+1,+1,+4,0,0,0,+4,+3,+14,0,+2,+7,+35,0,0,0,0,0,+26,+18,+8,+45,+21,+18,+4,+45,+34,+43,+40,+39,+15,+44,+26,+44,+42,+60,+13,+55,+19,+63,+49,+18,+51,+26,+42,+44,+24,+41,+27,+22,+20,+18,+27,+61,+25,+40,+60,+93,+44,+84,+63,+42,+93,+83,+73,+60,+76,+89,+100,+109,+216,+213,+309,+222,+101,+209,+361,+435,+289,+213,+263,+262,+484,+378,+382,+200,+104,+395,+614,+219,+360,+125,+429,+395,+414,+213,+431,+120,+405,+255,+132,+235,+327,+304,+182,+214,+164,+116,+115,+80,+125,+121,+81,+103,+59,+123,+65,+80,+64,+59,+50,+75,+73,+79,+38,+104,+95,+52,+20,+94,+66,+83,+81,+82,+50,+33,+83,+85,+104,+45,+68,+20,+12,+34,+68,+54,+46,+49,+33,+20,+63,+31,+24,+30,+36,+28,+63,+29,+31,+46,+39,+36,+29,+12,+30,+33,+21,+22,+26,+16,+8,+28,0,0,0,+56,0,0,0,0,0,0,+158,0,0,0,0,0,0,+143,0,0,0,0,0,0,0,+112,0,0,0,0,0,0,+87,0,0,0,0,0,0,+31,0,0,0,0,0,0,0,0,0
Tanzania,+6,+53,0,+23,+84,0,+30,0,+15,0,0,0,0,+181,0,0,0,0,0,0,0,0,+29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,+7,+4,+9,+3,+3,+3,+2,0,+1,+5,+1,+1,+2,+4,+1,+2,0,+2,+5,+5,+17,+29,+3,+16,+29,+11,+11,+2,+9,+15,+19,+11,+35,+13,+24,+10,+34,+61,+88,+73,+46,+30,+100,+137,+95,+109,+85,+87,+142,+150,+169,+129,+86,+136,+180,+170,+164,+245,+251,+179,+176,+109,+129,+195,+116,+399,+63,+131,+185,+186,+141,+250,+145,+119,+157,0,0,0,0,0,0,0,0,+928,+199,+147,+282,+158,+206,+203,+212,+294,+328,+344,+356,+704,+865,+452,+409,+760,+555,+720,+579,+653,+610,+805,+915,+469,+707,+583,+588,+459,+564,+552,+801,+565,+773,+584,+943,"+1,086","+1,038","+1,652",+982,"+1,460","+1,386","+1,336","+1,778","+1,829","+1,368","+1,638","+1,472","+1,545","+1,533","+1,186","+1,733","+1,514","+1,468","+1,009","+1,173","+1,105",+804,"+1,303",+950,"+1,206",+976,"+1,136",+916,+878,+789,+521,+413,+485,+700,+738,+689,+602,+616,+689,+889,+713,+661,+604,+486,+527,+632,+612,+640,+784,+730,+890,+872,+959,+618,+566,+892,+902,+865,+767,+866,+841,+582,+712,+739,+665,+600,+703,+723,+630,+628,+575,+536,+629,+485,+364,+511,+602,+481,+488,+380,+414,+359,+560,+379,+510,+355,+455,+474,+307,+345,+400,+521,+509,+564,+399,+336,+339,+533,+499,+452,+473,+433,+418,+388,+518,+560,+769,+492,+604,+540,+480
Somalia,0,+36,+19,+29,+73,+49,0,+42,0,+62,+46,+44,+48,+54,+19,0,+70,+51,+34,+79,+38,+55,0,+69,+57,+35,+81,+49,+65,0,+73,+64,+34,+47,+71,+21,0,0,0,+95,+22,+20,+97,0,+88,+60,+47,+66,+57,+58,0,+85,+45,+34,+48,+36,+61,0,+66,+39,+24,+16,+38,+23,0,+36,+24,+33,0,+23,+43,0,0,+16,+10,+20,0,+20,0,+17,+36,+9,+9,+13,+10,0,+13,+8,+13,+4,+7,+23,0,+5,+8,+11,+5,+26,+10,0,+7,0,+18,+16,0,0,0,0,+8,0,0,+7,0,0,0,0,0,0,0,0,+23,0,+6,+1,0,+8,0,0,+4,0,0,+6,0,0,0,+35,0,0,0,0,0,+22,0,+30,0,+9,0,0,+5,0,+13,0,+1,0,0,0,+11,+41,+23,0,0,0,0,+123,0,0,0,0,+5,0,0,+152,0,0,0,0,0,+102,+17,0,0,0,0,0,0,0,+26,0,0,+7,0,0,+44,0,0,0,0,0,0,0,0,+288,0,0,0,0,0,+72,0,0,0,0,0,0,0,+81,0,0,0,0,+63,0,0,0,+6,0,0,0,0,0
Uganda,0,0,0,0,+1,+5,+2,+11,+1,0,+4,0,0,+2,+2,+2,+3,+1,+8,+1,+2,+1,0,+15,+5,0,+5,+13,+21,+43,+24,0,+21,+12,+4,0,+15,+23,0,+24,+31,+28,+36,+12,+84,+4,+40,+32,+18,+15,+35,+36,+23,+30,+11,+8,+14,+7,+8,+2,+9,+19,+8,+9,+14,+8,+7,+4,+23,+8,+16,+12,+15,+11,+11,+19,+4,+9,+9,+16,+12,+14,+18,+6,+23,+6,+7,+12,+4,+11,+3,+8,+5,+6,+3,+4,+6,0,+4,+10,+14,+12,+13,+7,+5,+7,+7,+22,+6,+13,+8,+10,+10,+31,+13,+16,+14,+16,+19,+21,+32,+49,+66,+60,+43,+53,+94,+98,+318,+97,+99,+64,+98,+155,+77,+91,+81,+44,+65,+75,+176,+65,+186,+128,+109,+124,+201,+190,+86,+326,+96,+179,+145,+143,+114,+214,+423,+270,+181,+244,+167,+185,+154,+146,+166,+247,+240,+112,+158,+204,+171,+146,+157,+117,+178,+182,+96,+163,+100,+63,+81,+124,+48,+217,+121,+135,+101,+97,+145,+108,+122,+134,+146,+114,+64,+146,+434,+209,+85,+248,+228,+128,+252,+217,+284,+214,+337,+171,+130,+289,+224,+185,+387,+231,+237,+306,+342,+243,+283,+236,+301,+197,+241,+484,+225,+473,+356,+201,+314,+576
Zambia,0,+4,+5,+4,+4,+5,+4,+2,+8,0,+4,+1,+6,+2,+9,+3,+10,+5,+13,+1,+8,+7,+14,+85,+15,0,+174,+5,+208,0,+25,+74,+8,+11,+60,+34,+54,0,0,0,0,+137,0,0,0,0,+32,0,0,0,0,0,0,+111,0,0,0,+121,+36,+1,+24,+23,+7,+4,+14,0,0,0,+47,+12,+8,+34,0,+26,+11,+26,+38,0,0,0,0,0,+263,0,0,0,0,0,0,0,0,+119,+190,+170,+168,+178,+60,+197,+206,+67,+472,+153,+71,+450,+247,+306,+408,+265,+119,+233,+213,+229,+142,+322,+417,+182,+125,+65,+226,+162,+358,+165,+157,+496,+142,+237,+154,+255,+204,+251,+66,+137,+91,+225,+178,+123,+123,+72,+284,+34,+108,+116,+70,+67,+60,+116,+160,+102,+109,+143,+73,+181,+99,+68,+41,+94,+48,+61,+44,+214,+54,+48,+24,+97,+29,+19,+55,+44,+43,+28,+144,+78,+37,+81,+54,+77,+38,+76,+43,+91,+38,+29,+43,+53,+77,+64,+44,+85,+18,+35,+60,+22,0,+63,+43,+42,+40,+90,+17,+48,+63,+118,+37,+72,+49,+89,+46,+17,+26,+39,+20,+37,+4,+26,+64,+56,+37,+70,+23,+21,+30,+30,+12,+69,+18,+16,+20,+19,+39,+18
Eritrea,0,0,+4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0,0,+24,+31,+13,+12,+10,+11,0,+1,0,0,0,+1,0,+23,+24,0,0,+12,0,+12,0,0,0,0,0,0,+17,0,0,0,0,0,0,+19,0,0,0,0,0,0,+10,0,+2,0,+2,0,0,+14,0,0,0,+3,0,0,0,+3,0,0,0,0,0,0,0,0,0,0,+19,0,+2,0,0,0,0,+9,0,+2,0,+1,0,+1,0,0,+11,0,0,0,0,+11,0,+20,0,0,0,0,+3,0,0,0,0,0,0,0,0,+5,0,+6,0,0,0,0,+6,0,+17,0,0,0,0,+7,0,+9,0,0,0,0,+8,0,+30,0,0,0,0,+5,+4,0,0,0,0,0,0,+2,0,0,+17,0,0,+4,0,+7,0,0,0,0,+2,0,0,0,+25,0,0,+9,0,+24,0,+7,0,0,+8,0,+11,0,0,0
Sudan,0,+1,+33,0,+41,+33,0,+22,+12,+39,+24,+38,+43,+57,+67,0,+150,0,+86,+100,+74,+78,+181,+53,+201,+161,+135,+157,0,+146,+325,0,+302,+137,0,+410,+240,0,+250,+192,+156,+170,+200,+175,+279,+226,+147,+137,+189,+215,+151,+216,0,+161,+185,+155,0,+297,+128,+213,+215,+305,+280,0,+296,+100,+164,+118,+191,0,+95,+273,0,0,0,0,+316,0,+90,0,+104,+127,+103,+87,+74,+46,+46,0,+66,+101,+110,0,+72,+83,+310,0,0,+110,0,+65,+83,0,+39,+72,0,0,+148,+94,0,0,+42,0,0,+114,0,+62,0,+77,0,+82,+47,+49,+103,+96,+75,+61,+36,+41,+59,+154,+67,+71,0,+71,+37,+107,0,0,0,0,0,0,+218,+30,0,0,0,0,+33,0,+46,+19,0,0,0,0,0,+20,0,+23,0,+14,0,+14,0,0,+27,0,+7,0,0,0,0,0,+15,+2,0,0,+15,+6,0,0,0,0,0,+6,+27,0,0,0,0,+18,0,+5,0,+18,+7,+27,0,+15,+47,+39,+38,0,0,+37,+57,+65,0,+45,+55,0,+128,0,+293,+128,0,+146,+231,+309,+213,+135,+244,+218,+215,0,+336,0,+183,+235
Mozambique,+2,+3,+1,+4,0,0,+2,+5,+19,+5,+6,0,0,0,0,+3,0,+1,0,+1,0,0,+1,+5,+4,+12,+1,0,+11,+4,+10,+8,+8,+1,+10,+6,+2,+4,+26,+15,+4,+14,+6,+1,+10,+10,0,+53,+9,+36,+2,+55,+15,+9,+20,+19,+17,+20,+44,+30,+26,+29,+13,+11,+6,+20,+45,+4,+20,+5,+26,+28,0,+43,+24,+6,+14,+15,+21,+30,+18,+25,+28,+31,+21,+19,+24,+22,+62,+49,+62,+53,+19,+33,+56,+16,+29,+21,+25,+8,+26,+53,+32,+19,+28,+60,+56,+43,+39,+27,+56,+50,+41,+93,+28,+28,+142,+70,+78,+79,+70,+83,+64,+59,+77,+54,+70,+80,+109,+91,+45,+68,+82,+61,+46,+63,+61,+95,+123,+78,+90,+58,+76,+103,+113,+90,+117,+68,+86,+122,+229,+213,+231,+281,+167,+103,+273,+234,+141,+202,+148,+137,+190,+168,+226,+305,+268,+172,+160,+91,+70,+147,+100,+102,+96,+145,+103,+102,+157,+87,+170,+134,+145,+75,+95,+159,+214,+110,+141,+228,+189,+147,+91,+175,+112,+142,+110,+252,+92,+119,+142,+72,+81,+108,+94,+92,+191,+55,+69,+99,+103,+133,+113,+108,+66,+52,+63,+94,+154,+104,+56,+72,+122,+71,+165,+39,+80,+27,+88,+69
Malawi,0,+1,0,0,0,+1,+5,+10,0,0,+1,+2,0,0,+1,0,+1,+1,+2,0,+2,0,0,+13,0,+1,0,+6,0,0,+2,+5,0,0,+1,+1,+10,0,+1,+18,0,0,+102,+70,+6,+5,+52,+22,+11,+24,+16,0,+29,+5,+12,0,+26,0,+48,+18,+8,+9,+8,+20,+28,0,+110,+19,+54,+138,+19,+45,+33,+108,+6,+72,+41,+77,+156,+115,0,+129,+76,+46,+78,+127,+192,+103,+66,+67,+117,+98,+93,+5,+97,+85,+53,+104,+153,+151,+104,+83,+24,+45,+29,+120,+220,+108,+45,+41,+89,+65,+65,+84,+49,+34,+16,+40,+38,+160,+76,+38,+46,+53,+68,+47,+42,+40,+60,+32,+5,+4,+51,+22,+27,+5,+8,+30,+10,+3,+14,+15,+3,+3,+7,+9,+23,+2,+14,+9,+12,+7,+4,+3,+7,+5,+2,+13,+2,+6,+7,+1,+17,+2,+2,+2,+2,+1,+6,+4,0,+3,+8,+2,+7,+6,+4,+8,0,+3,+3,+2,+7,+6,+10,+5,+3,+1,+3,+10,+11,+2,+3,+4,+3,+7,+12,+7,+7,+2,+1,+1,0,+6,+2,+6,+3,+2,0,+2,+3,+4,+2,+1,+6,0,+4,+3,+1,0,0,+6,+8,+1,+2,+4,+1,0,+3,0
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+59,+7,+4,0,0,0,0,0,0,0,+10,+3,+6,0,0,0,0,0,+8,0,0,0,0,0,0,0,+6,0,0,0,0,0,0,0,0,0,0,0,+12,0,0,0,0,0,+1,0,0,0,0,0,0,0,+5,0,0,0,0,0,+4,0,0,0,0,0,0,0,0,0,0,0,0,+1,0,0,0,+1,+1,0,+1,0,0,+1,0,0,0,+2,0,0,0,0,0,0,0,0,+1,0,+1,+1,0,0,+2,0,0,0,0,0,0,0,0,0,+1,0,0,0,0,+2,0,+2,0,0,0,0,0,0,0,0,0,0,+4,0,0,+1,0,0,0,0,0,+2,0,0,0,0,0,0,+3,0,0,0,+3,0,0,0,+7,0,0,+10,0
Burundi,0,0,0,0,0,0,+6,0,0,0,0,0,0,0,0,0,+4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+8,+19,0,0,0,0,0,0,0,0,0,0,0,+21,0,0,0,0,0,0,+20,0,0,0,0,+2,0,0,0,0,+19,0,0,0,0,+40,0,0,0,0,0,+26,0,0,0,0,0,+21,0,0,0,0,0,0,0,0,0,+78,0,0,+34,+7,0,0,+12,+6,0,+17,0,+16,0,+17,0,+9,0,0,+8,0,0,0,0,+5,0,0,+3,0,0,+1,+1,+2,0,+1,0,+3,+6,0,+4,+3,+1,0,0,0,+1,+2,+12,0,0,0,+3,0,+3,+9,+2,+4,0,0,+3,0,+2,+1,0,0,0,+1,0,0,0,+1,0,+2,+1,+6,+2,0,+17,+4,+2,+2,+3,0,0,+1,0,+1,0,0,+2,+7,+1,+4,0,0,+2,+5,+6,+7,+1,0,+1,+2,+2,+2,0,+1,+1,+1,+22,+3,+4,0,+8,+9,0,0,+6,0,+2,+1,+5,+3,+1,+3,+1,+2,+1,+10,0,+8,+7,+6,+2,+9,0,+4,+4,0,0,+7,+1
South Sudan,0,0,0,0,0,0,0,0,+1,0,+1,0,+28,0,+1,+10,0,+1,0,+6,+6,+16,+46,0,0,+36,+38,+9,0,+33,0,+54,0,0,0,+191,+82,+92,0,+151,0,+188,0,0,0,0,0,0,0,0,0,0,+323,+287,0,0,+66,0,+23,0,0,+83,+37,+17,+34,+18,+10,+24,+14,+12,0,0,0,+47,0,+18,+14,0,0,0,0,0,0,0,0,0,0,0,+127,0,+5,+18,+20,0,+9,+11,0,0,+28,+19,0,+4,+43,0,+17,0,0,+30,+77,0,+8,0,+13,0,+13,+7,0,+2,+5,+1,+4,+6,+1,+1,0,+4,0,+3,0,+2,+5,+3,+3,+4,+4,+1,0,+8,0,+5,+1,+3,+8,0,+1,+7,+3,0,+13,+10,0,+9,+5,+2,+5,+10,+33,0,+7,+11,+4,+5,+7,0,+10,+6,+8,+4,0,+11,0,+11,0,+8,+14,+1,+12,0,+16,+10,+11,0,+9,+10,0,+25,+5,0,+23,+2,+4,+2,+5,0,+7,0,+13,0,+2,+21,0,+14,+3,0,0,0,0,+17,0,0,0,+20,+23,0,+9,+4,0,0,0,+31,0,+17,+5,+4,+19,+12,0,+2,0,+2
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+9,0,0,0,+21,0,+1,+13,0,0,+21,0,+13,0,+37,0,0,+18,0,+7,0,0,0,0,+31,0,0,+6,0,+2,0,0,+2,+1,0,+3,0,0,+4,0,+7,0,0,+6,0,+3,0,+3,0,+14,0,0,0,+24,0,0,+8,0,0,+2,0,+8,0,+3,0,0,0,0,0,+4,0,+2,0,+1,0,+11,0,0,0,0,0,0,+5,0,+1,0,0,+4,0,+21,0,+4,0,0,+4,0,0,0,0,0,+1,+10,0,+3,0,0,0,0,0,0,+4,0,+4,0,0,+1,0,+5,0,+3,0,0,+4,0,+4,0,0,0,0,+1,0,0,+6,0,0,0,+2,0,+13,0,0,0,0,0,0,0,+20,+8,0,0,0,+9,+3,0,+6,0,0,+6,0,+5,0,+5,0,0,+12,0,+1,0,+4,0,0,+11,0,+3,0,+1,0,0,+2
